wiki_text,groundtruth
"[ORG] is the oldest and, with 40,000 students (in the academic year 2016/17), the largest university in Slovenia. The main office - the Rectorate of the university is located in the narrow center of Ljubljana, in the building of the Kranjska Regional Palace at Congress Square, while the faculties are located in different parts of Ljubljana, and one of them, the Faculty of Maritime Studies and Transport, is in Portorož.",['Education']
"[ORG] is a Slovenian public institution based in Maribor, which was established in 1992 by the Republic of Slovenia as an information service for Slovenian science, culture, and education.",['Research']
"[ORG] is the current European Commission, in office since 1 December 2019 and is to last until the 2024 elections. It has Ursula von der Leyen as its president and it further consists of one commissioner from each of the member states of the European Union (other than the President's state, Germany).   ",['Government']
[ORG] is a public institution in Novo mesto and the largest school center in Slovenia. The current director is Dr. Matej Forjan.,['Education']
"[ORG] is in Ithaca, New York, United States.  It is a private land-grant university, receiving annual funding from the State of New York for certain educational missions.[6] Ezra Cornell and Andrew Dickson White co-founded it in 1865 by sponsoring a bill in the New York State Legislature to designate it as New York's land grant college. The university was intended to teach and make contributions in all fields of knowledge–from the classics to the sciences and from the theoretical to the applied. This goal was uncommon in 1865.  The goal is stated in Cornell's motto, an 1865 Ezra Cornell quotation: ""I would found an institution where any person can find instruction in any study.""[1] Since its founding, Cornell has also been a co-educational, secular institution where admission is offered irrespective of gender, religion or race.",['Education']
"[ORG] is the central [ORG].[1]  The main offices of the bank are in Chuo, Tokyo.[2]   ",['Finance']
"[ORG] is a national research and development institution established to promote science and technology, under the jurisdiction of the [ORG], Culture, Sports, Science and Technology. It is one of the agencies responsible for distributing competitive funding from the [ORG].",['Research']
"[ORG] is a developer platform that allows developers to create, store, manage and share their code. It uses Git software, providing the distributed version control of Git plus access control, bug tracking, software feature requests, task management, continuous integration, and wikis for every project.[7] Headquartered in California, it has been a subsidiary of Microsoft since 2018.[8]   ","['Internet Infrastructure', 'Software']"
"[ORG] is an American media company founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California and currently based in Los Gatos, California. It owns and operates an eponymous over-the-top subscription video on-demand service, which showcases acquired and original programming as well as third-party content licensed from other production companies and distributors. Netflix is also the first (and so far only) streaming media company to be a member of the Motion Picture Association.   ",['Media']
"[ORG] was formed as a subsidiary of Zayre Corp. in 1987, and became the legal successor to Zayre Corp. following a company reorganization in 1989.",['Retail & Distribution']
"[ORG] is an international financial institution that provides loans and grants to the governments of low- and middle-income countries for the purpose of pursuing capital projects.[5] The World Bank is the collective name for the International Bank for Reconstruction and Development (IBRD) and International Development Association (IDA), two of five international organizations owned by the World Bank Group. It was established along with the International Monetary Fund at the 1944 Bretton Woods Conference. After a slow start, its first loan was to France in 1947. In the 1970s, it focused on loans to developing world countries, shifting away from that mission in the 1980s. For the last 30 years, it has included NGOs and environmental groups in its loan portfolio. Its loan strategy is influenced by the United Nations' Sustainable Development Goals, as well as environmental and social safeguards.   ",['Finance']
"[ORG] is a cabinet-level ministry in the Government of Japan. Its English name was [ORG], Home Affairs, Posts and Telecommunications (MPHPT) prior to 2004.[2] It is housed in the 2nd Building of the Central Common Government Office at 2-1-2 Kasumigaseki in Chiyoda, Tokyo, Japan.   ",['Government']
"[ORG] is an online retailer for notebooks as well as for smartphones, tablets, PCs, displays, and entertainment electronics.",['Retail & Distribution']
"[ORG] is an American multinational cloud computing and virtualization technology company that provides server, application and desktop virtualization, networking, software as a service (SaaS), and cloud computing technologies. Citrix products were claimed to be in use by over 400,000 clients worldwide, including 99% of the Fortune 100, and 98% of the Fortune 500.[2]   ",['Software']
"[ORG] is an American cloud computing and virtualization technology company with headquarters in Palo Alto, California.[2] VMware was the first commercially successful company to virtualize the x86 architecture.[3]   ","['Internet Infrastructure', 'Software']"
"[ORG] is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley.[3] Cisco develops, manufactures and sells networking hardware, telecommunications equipment and other high-technology services and products.[4] Through its numerous acquired subsidiaries, such as OpenDNS, WebEx, Jabber and Jasper, Cisco specializes into specific tech markets, such as Internet of Things (IoT), domain security and energy management.[5]","['Technological Hardware', 'Software', 'IT Services']"
"[ORG] is a German public-broadcasting institution based in the Federal State of North Rhine-Westphalia with its main office in Cologne. WDR is a  member of  the consortium of German public-broadcasting institutions, ARD. The WDR produces the regional television service WDR Fernsehen (formerly known as WDF and West3) and six regional radio channels.   ",['Media']
"[ORG] is a company based in Naka Ward, Yokohama City, Kanagawa Prefecture that engages in software development and sales, system integration, and more. Capital-wise, it is an independent company that does not belong to any corporate group.","['Software', 'IT Services']"
"[ORG] is a company that engages in direct sales, wholesale, and support services such as repairs for Canon brand products in the Japanese market.",['Retail & Distribution']
"[ORG] was owned by Mark Zuckerberg, other founders and the shared ownership given to its employees but it went public on February 1, 2012, and was headquartered in Menlo Park, California. Meta, Inc. started to be publicly negotiated on May 18, 2012.   ",['Media']
"[ORG] is a mail-order company focused on office supplies, headquartered in Koto, Tokyo, and part of the SoftBank Group.",['Retail & Distribution']
"[ORG] is an American company that manufactures and sells printing equipment. It is listed in the Fortune 500. They provide printers, multifunction devices, copiers, digital presses, and related services. The company was founded in Rochester, New York. Its current headquarters is located in Norwalk, Connecticut (moved from Stamford, Connecticut, northeast of New York City in October 2007), but major facilities are still in the Rochester area. Xerox is also a supplier to Queen Elizabeth II and King Charles III.",['Technological Hardware']
"[ORG] is a holding company based in Chiyoda, Tokyo, that engages in the sale of machined products. The company focuses on three main businesses: FA (Factory Automation) necessary for manufacturing production lines and development departments, precision machinery parts for molds, and VONA, which handles products from other companies alongside its own brand. The core entity is Misumi Co., Ltd., a specialized trading company for FA and mold parts.",['Capital Goods']
"The [ORG], the state final account of the republic, the state treasury of the Czech Republic, the financial market except for oversight of the capital market within the competence of the Securities Commission, taxes, fees and customs, financial management, financial control, accounting, auditing and tax consultancy, foreign exchange matters including claims and obligations of the state towards abroad, protection of foreign investments, for tombolas, lotteries and other similar games, management of state property, privatization of state property, for matters of insurance companies, pension funds, prices, and for activities aimed at combating the legalization of proceeds from crime, assesses the import of subsidized products and adopts measures to protect against the import of these products.",['Government']
"[ORG] is a public university in Guadalajara, Mexico. It is the fourth oldest university in Latin America and the second oldest university in the country. Only the UNAM in Mexico City is older and has more students in Mexico.",['Education']
"[ORG] is a Japanese multinational electronics company and one of the world's largest manufacturers of printers and information- and imaging-related equipment. Headquartered in Suwa, Nagano, Japan,[4] the company has numerous subsidiaries worldwide and manufactures inkjet, dot matrix, thermal and laser printers for consumer, business and industrial use, scanners, laptop and desktop computers, video projectors, watches, point of sale systems, robots and industrial automation equipment, semiconductor devices, crystal oscillators, sensing systems and other associated electronic components.    ",['Technological Hardware']
"[ORG] is the National Internet Registry in Japan that manages several aspects of Internet operations, including the allocation of IP addresses and AS numbers.   ",['ISP']
" Banglalink Digital Communications Ltd., d.b.a. Banglalink (Bengali: ?????????; formerly Sheba Telecom (Pvt.) Ltd.) is a Bangladeshi telecommunications company headquartered in Dhaka. It is the third-largest mobile network operator in Bangladesh and a subsidiary of VEON group.    ",['ISP']
"[ORG] is a Norwegian majority state-owned multinational telecommunications company headquartered at Fornebu in B?rum, close to Oslo. It is one of the world's largest mobile telecommunications companies with operations worldwide, but focused in Scandinavia and Asia. It has extensive broadband and TV distribution operations in four Nordic countries, and a 10-year-old research and business line for machine-to-machine technology. Telenor owns networks in 8 countries.[3]   ",['ISP']
"[ORG] is a Japanese bank holding company headquartered in Chiyoda, Tokyo, Japan.[3]   ",['Finance']
"[ORG] is the trade name of the company INTERNET CZ, a.s., one of the largest registrars of internet domains and providers of hosting services in the Czech Republic.",['Internet Infrastructure']
[ORG] is a Japanese corporate group holding company that provides music information services including hit charts. It is one of the constituent stocks of the JPX Nikkei Small and Mid Cap Index.,['Media']
"    [ORG], the world's fourth-largest airline by scheduled revenue passenger-kilometers flown and number of international passengers carried, was founded in 1985[1] by the royal family of Dubai. The airline's first flight was from Dubai to Karachi, Pakistan and Mumbai, India in October of that year. Its first aircraft were provided by Pakistan International. The airline grew rapidly through partnerships and investment to become one of the world's leading air carriers.   ",['Transportation']
"[ORG] is a timeline of online money transfer and e-commerce service PayPal, owned by eBay from 2002 to 2015 and an independent company before and after that.   ",['Finance']
"On January 1, 1998, the monopoly on [ORG] and telecommunications comes to an end with the entry of new providers into the market (including Sunrise, a company between Tele Danmark and British Telecom) who begin [ORG] [ORG] in 1999, and the company specializes exclusively in web hosting. In the meantime, Infomaniak develops audio streaming technology for basic.ch, the first web radio in Switzerland.",['Internet Infrastructure']
"[ORG] is a French multinational integrated energy and petroleum company founded in 1924 and is one of the seven supermajor oil companies. Its businesses cover the entire oil and gas chain, from crude oil and natural gas exploration and production to power generation, transportation, refining, petroleum product marketing, and international crude oil and product trading. TotalEnergies is also a large-scale chemicals manufacturer.   ","['Fossil Energy', 'Utilities', 'Fundamental Materials']"
"[ORG] is Switzerland's largest private hospital group. As of 1 July 2017, the Hirslanden Private Hospital Group consists of 17 hospitals in 11 districts, many of which have an integrated outpatient surgery centre and emergency department. It has around 2 000 affiliated doctors and 9 920 permanent employees, 484 of whom are doctors.[1][2][3][4][5]   ",['Medical']
"[ORG] is an IT company based in the United States. It is headquartered in San Francisco, California, and operates the microblogging and social networking service ""Twitter."" Additionally, it previously operated the short video app ""Vine"" and the live streaming service ""Periscope.""",['Media']
"[ORG] is a financial company of the NTT Group, which is headquartered in Minato Ward, Tokyo. Its main businesses include cash management systems (CMS) that provide financing for the entire NTT Group's fund operations and global investment projects, as well as billing services, credit cards, and accounting services.",['Finance']
"[ORG] is a private university in Kiyose, Tokyo, Japan. The predecessor of the school was founded 1902.   ",['Education']
"[ORG] is a web-based social networking service, free (with optional paid services), primarily used for developing professional contacts (through the publication and sharing of one's resume) and for disseminating specific content related to the job market (e.g. job search engine, company advertisements, etc.). The LinkedIn network, present in over 200 countries, had about 30 million users in January 2009, surpassed 100 million users on March 22, 2011, reached 200 million in January 2013, 530 million in 2017, reached 630 million in June 2019, and 800 million in 2021, of which about 16 million are in Italy.",['Media']
"[ORG] is a research institute for natural sciences and engineering located near Zurich in Switzerland. PSI belongs to the Swiss ETH complex, which also includes ETH Zurich and EPFL. It is the largest national research institute in Switzerland with around 1250 employees (2006) and is the only one of its kind in Switzerland.",['Research']
"[ORG] is a German automobile and motorcycle manufacturer based in Munich, Bavaria.",['Automotive']
[ORG] is a record chart in Japan for songs. It has been compiled by Billboard Japan and Hanshin Contents Link since February 2008.[1] The chart is updated every Wednesday at Billboard-japan.com (JST) and every Thursday at Billboard.com (UTC).   ,['Media']
"[ORG] is a group of companies that have supplier, vendor and investment relationships with Toyota Industries and Toyota Motor vehicle manufacturing facilities. It is similar to a keiretsu in that no particular entity has outright control over the entire group, although unlike most keiretsu it does not contain a major bank.   ",['Automotive']
"[ORG] is an American multinational mass media and entertainment conglomerate that is headquartered at the Walt Disney Studios complex in Burbank, California. Disney was started on October 16, 1923, by brothers Walt Disney and Roy Disney as Disney Brothers Studio; it also operated under the names Walt Disney Studio and Walt Disney Productions before changing its name to The Walt Disney Company in 1986. Disney is known for Mickey Mouse, Winnie the Pooh, Snow White and the Seven Dwarfs, Cinderella, The Little Mermaid, The Lion King, Mary Poppins, Frozen, Aladdin and Lilo and Stitch. Pixar famous movies are Toy Story and Cars. Marvel Comics well known original comics for Spider-Man and Hulk. Lucasfilm media franchises such as Star Wars and Indiana Jones. Jim Henson original franchise like The Muppets.   ",['Media']
"[ORG] is the [ORG]). EU citizens elect its members once every five years. Together with the [ORG], it is the law-making branch of the institutions of the Union. It meets in two locations: Strasbourg and Brussels .   ",['Government']
"[ORG] is an electric equipment manufacturer headquartered in Oozai Kitamachi, Saga City, Saga Prefecture. It is listed on the Tokyo Stock Exchange Standard Market (stock code 6643).",['Technological Hardware']
"[ORG] is a photo sharing service operated and managed by Pinterest, Inc. based in San Francisco, California, USA. It is provided through an app and website, featuring a pinboard-style layout. Users can create and manage image collections based on themes such as events, interests, and hobbies, and they can also view pinboards created by other users, add them to their own collections, or ""repin"" images as their ""favorites.""",['Media']
"[ORG], Established in 1985 as a subsidiary of [ORG], is a provider of Information Technology (IT) services, including consulting, technical, and outsourcing services.[2] SDS is also active in research and development of emerging IT technologies such as Artificial Intelligence (AI), Blockchain, Internet of Things (IoT) and outsourcing in engineering . In 2019, Samsung SDS reported a net profit of 750.4 billion won (US$635 million), an increase of 17.5% year-on-year.[3] The company is estimated to have the 11th most valuable brand among global IT service companies, at US$3.7 billion as of January 2020.[4][5] Samsung SDS has headquarters in South Korea and eight other overseas subsidiaries, one in America, Asia-Pacific, China, Europe, Latin America, Middle East, India, and Vietnam.[6]",['IT Services']
"[ORG] is an American video game developer and digital distributor company in Bellevue, Washington. It was started in 1996 by Gabe Newell and Mike Harrington, two Microsoft employees in the past. The company is widely known for Steam and its popular first-person shooter series, Half-Life, with the first being released in 1998. Also, the company develops the SteamOS,[2] which their all-in-one handheld hardware, called Steam Deck, uses.[3]   ",['Media']
[ORG] is a public Japanese multinational retail holding company.,['Retail & Distribution']
"[ORG] is an American multinational cybersecurity company with headquarters in Santa Clara, California. The core product is a platform that includes advanced firewalls and cloud-based offerings that extend those firewalls to cover other aspects of security. The company serves over 70,000 organizations in over 150 countries, including 85 of the Fortune 100.[6] It is home to the Unit 42 threat research team[7] and hosts the Ignite cybersecurity conference.[8] It is a partner organization of the World Economic Forum.[9]",['Cybersecurity']
"[ORG] is an American company that provides financial advisory, software, data, and media services. It has a one-third share of the market, similar to Thomson Reuters.",['Media']
"[ORG] is a company that was established by a partnership agreement on January 13, 2006, and registered in the commercial register on January 20, 2006. On July 1, 2020, the company name was changed to Deutsche Telekom IT Solutions Slovakia. The goal of the company is to provide outsourcing services for information and communication solutions for the global corporate clientele of the Deutsche Telekom group. Since its establishment, the company has exclusively operated in Košice. It was [ORG], which [ORG]. Deutsche Telekom IT is located on Moldavská Cesta in the BCT-2 business center, where some employees also work in the BCT-1 business center.",['IT Services']
"[ORG] is a precision equipment manufacturer headquartered in Kanazawa City, Ishikawa Prefecture. It primarily manufactures and sells computer peripherals. The company was founded during the dawn of personal computers in Japan, making it one of the long-established companies in the peripheral equipment industry.",['Technological Hardware']
"[ORG] is a Fortune 500 American multinational semiconductor device manufacturer. Analog Devices specializes in producing ADC, DAC, MEMS, and DSP chips for consumer and industrial products. They are currently designing circuits ranging in size from 65 nanometers to 3 micrometers.",['Technological Hardware']
"[ORG] is a non-teaching department of the [ORG]. It was formed in August 2021, when the [ORG], the world’s oldest academic publisher, and Cambridge Assessment.[2][3][4]   ",['Media']
"[ORG] are rules prescribed by the Federal Aviation Administration (FAA) governing all aviation activities in the United States. The FARs comprise Title 14 of the Code of Federal Regulations (14 CFR). A wide variety of activities are regulated, such as aircraft design and maintenance, typical airline flights, pilot training activities, hot-air ballooning, lighter-than-air aircraft, man-made structure heights, obstruction lighting and marking, model rocket launches, commercial space operations, model aircraft operations, Unmanned Aircraft Systems (UAS) and kite flying. The rules are designed to promote safe aviation, protecting pilots, flight attendants, passengers and the general public from unnecessary risk.   ","['Transportation', 'Government']"
"[ORG] is a Japanese optics and photographic equipment manufacturer headquartered in Tokyo, Japan. The companies held by Nikon form the Nikon Group.[3]  ",['Technological Hardware']
"[ORG] is an American company based in Charlotte, North Carolina, that produces steel and related products. It is the largest steel producer in the United States and the largest recycler of scrap in North America.[1]  Nucor is the 16th-largest steel producer in the world.[2] Along with Commercial Metals Company, it is one of two primary suppliers of rebar used to reinforce concrete in buildings, bridges, roads, and infrastructure in the U.S.   ",['Fundamental Materials']
" [ORG] develops software tools and components for networking of electronic systems based on the serial bus systems CAN, LIN, FlexRay, MOST, Ethernet, AFDX, ARINC 429,[4]  and SAE J1708 as well as on CAN-based protocols such as SAE J1939, SAE J1587, ISO 11783, NMEA 2000, ARINC 825,[4] CANaerospace,[4] CANopen and more. [ORG] is in Stuttgart, Germany. Subsidiaries include Braunschweig, Munich, Hamburg, Regensburg along with international subsidiaries in Brazil, China, France, Italy, England, India, Japan, South Korea, Austria, Sweden, and the USA.  [ORG], a consultation firm specializing in optimization of technical product development. Altogether, these companies are referred to as the Vector Group.   ",['Software']
"[ORG] is a software company known for creating the Movable Type blogware, TypePad blog hosting service, and Vox (the blogging platform). The company also is the former owner of LiveJournal. Six Apart is headquartered in Tokyo. The name is a reference to the six-day age difference between its married co-founders, Ben and Mena Trott.[1]   ",['Software']
[ORG] is a company in the United States that offers content delivery network (CDN) services and cloud security services. It utilizes systems that incorporate mathematical theories (such as graph theory) as its strengths.,"['Internet Infrastructure', 'Cybersecurity']"
"[ORG] is a digital security company headquartered in Lehi, Utah.[1] As a certificate authority (CA) and trusted third party, DigiCert provides public key infrastructure (PKI) and validation required for issuing digital certificates or TLS/SSL certificates.",['Internet Infrastructure']
"[ORG] is a company based in Shibuya, Tokyo, that operates in the cloud hosting (rental server) business, security business, and solutions business as part of the GMO Internet Group. It is listed on the Tokyo Stock Exchange Prime Market.","['Internet Infrastructure', 'Cybersecurity']"
"[ORG] is one of the telecommunications operators in Japan. It mainly provides internet connection services under two brands: ""DTI"" for individuals and ""MeX"" for businesses.",['ISP']
"[ORG] is a company based in Chiyoda Ward, Tokyo, Japan, that primarily engages in the overall management of cable television operations (MSO) and program supply operations (MCO) in Japan. It is a consolidated subsidiary of KDDI [ORG].",['ISP']
"[ORG] is a telecommunications company based in Monroe, Louisiana, USA, and is one of the Fortune 500 companies. Apart from North America, it also provides services in other regions of the world.",['ISP']
"[ORG] is a major telecommunications company based in Shinjuku, Tokyo, Japan. It is commonly referred to as NTT East.",['ISP']
"[ORG] is a consolidated subsidiary responsible for long-distance and international communication services of Nippon Telegraph and Telephone (NTT), one of the world's largest telecommunications operators. Its direct parent company is NTT Docomo, and it is one of the main companies in the NTT Group.",['ISP']
"[ORG] is an American management consulting firm. Founded in New York City in 1984 by former Booz Allen Hamilton partners Alex Oliver and Bill Wyman, the firm has more than 60 offices in Europe, North America, the Middle East, and Asia-Pacific employing over 5,000 professionals.[1] The firm is part of the Oliver Wyman Group, a business unit of Marsh McLennan.",['Services']
"[ORG] is the second television service of NHK ([ORG]). It is a sister service of NHK General TV, showing programs of a more  educational, documentaries, cultural, children's or intellectual nature, periodically also showing anime, and also airing programming from Nickelodeon. A similar counterpart would be PBS (Public Broadcasting Service) of the United States (or to a lesser extent BBC Two and BBC Four of the UK).[1] NHK displays a watermark ""NHK E"" at the upper right for its digital TV broadcast.[2] In 2010, NHK began using the abbreviation E Tele (イーテレ, ī Tere).   ",['Media']
"[ORG] is the main state [ORG].S. state of Washington. There are over 40,000 students. It is in Seattle, Washington. The [ORG]) are part of the Pacific-12 Conference of the National Collegiate Athletic Association.",['Education']
"[ORG] was founded in 1754 in New York City as King's College, by royal charter of King George II of Great Britain. It is the oldest institution of higher learning in the state of New York, and the fifth oldest in the United States.   ",['Education']
"[ORG] is a public online university that operates as a public nonprofit institution. It is part of the Purdue University system and is Purdue's online university for working adults. Purdue Global was created in 2018 by Purdue University's acquisition and rebranding of for-profit Kaplan University. Kaplan Higher Education, a division of Graham Holdings Company(GHC), provides non-academic support services such as recruitment, admissions, human resources, marketing, and technology support.   ",['Education']
[ORG] is a Japanese manufacturer of control and measurement equipment.,['Technological Hardware']
"[ORG] is of historical note for two reasons. First, it was not damaged by air raids during World War II. Second, many university buildings have been declared National Treasures of Japan as they are examples of historic architectural design. This article focuses on registered cultural heritage.[1][2]   ",['Education']
"[ORG] is an independent agency of the U.S. federal government that administers Social Security, a social insurance program consisting of retirement, disability and survivor benefits. To qualify for most of these benefits, most workers pay Social Security taxes on their earnings; the claimant's benefits are based on the wage earner's contributions. Otherwise benefits such as Supplemental Security Income (SSI) are given based on need.   ",['Government']
"[ORG] is a US telecommunications company and a publicly traded company listed on the NASDAQ stock exchange, established in 1998. The company mainly engages in internet connectivity services and has 205 colocation and data centers in 25 countries and regions worldwide. The company is headquartered in Redwood City, California, USA.",['Internet Infrastructure']
"[ORG] is a public research university based in West Chester, Pennsylvania.[2] With more than 20,000 undergraduate and graduate students as of 2023, West Chester is the largest of the 10 owned universities in the state.   ",['Education']
" [ORG] is a Japanese financial services company affiliated to [ORG]. Founded in 1951, [ORG] is the 3rd largest credit card issuer with over 20 million cardholders in Japan, behind JCB and Visa Japan.   ",['Finance']
" The [ORG], co-ed university in Salt Lake City, Utah.   ",['Education']
"[ORG] is a federal Cabinet department of the United States government concerned with transportation. It was established by an act of Congress on October 15, 1966 and began operation on April 1, 1967. It is administered by the United States Secretary of Transportation. Their current mission statement is, ""The mission of the U.S. Department of Transportation (DOT) is to ensure our Nation has the safest, most efficient and modern transportation system in the world, which improves the quality of life for all American people and communities, from rural to urban, and increases the productivity and competitiveness of American workers and businesses.[2]""   ","['Transportation', 'Government']"
"[ORG] is a Canadian telecommunications and media company.  Its corporate offices are located at 1 Place Ville-Marie in Montreal, Quebec.  The company is structured into three strategic business units (SBU); Cogeco Connexion, Breezeline (previously known as Atlantic Broadband), and Cogeco Media.[4]  The company provides a range of telecommunication products and services including cable television, radio and television broadcasting, telephony, and Internet services in Ontario and Quebec in Canada, and in eleven states along the east coast of the United States.[5]   ","['Media', 'ISP']"
"[ORG] is a Japanese telecommunications operator. It was established in 2000 through the merger of DDI (第二電電, Daini Denden), KDD (ケイディディ), and IDO (日本移動通信, Nippon Idō Tsūshin). In 2001, it merged with a subsidiary named Au, which was formed through the merger of seven automotive and mobile phone companies from the DDI-Cellular Group. As of 2020, it is the second-largest mobile telecommunications provider in Japan in terms of the number of contracts, following NTT Docomo.   ",['ISP']
"[ORG] is a Japanese internet service provider operated by Sony Network Communications Inc. (ソニーネットワークコミュニケーションズ株式会社, Sonī Network Communications Kabushiki Gaisha), a wholly owned subsidiary of Sony.   ",['ISP']
"[ORG] is a registry and has been managing the domain names for the top-level domain .nl since 1996 (that is, all domain names ending in .nl). Before 1996, this function was delegated to the Centrum voor Wiskunde en Informatica (CWI).",['Internet Infrastructure']
"[ORG] is a company that operates a social networking, user review, and local search web site of the same name. Over 31 million[3] people access Yelp's website each month, putting it in the top 150 of U.S. Internet web sites.[4]   ",['Media']
"[ORG] is the Automotive sector of the parent group Rheinmetall. The company emerged in 1997 [ORG], Neckarsulm, [ORG], Neuss. Hence, at its various traditional locations the company is commonly known as Kolbenschmidt or Pierburg. 40 production plants in Europe, the Americas, Japan, India and China employ a total workforce of around 11,000. Products are developed in cooperation with international auto manufacturers. Rheinmetall Automotive ranks among the 100 biggest auto industry suppliers worldwide and is an important partner to the industry for such products as exhaust gas recirculation systems, secondary-air systems, coolant pumps, and pistons for car gasoline engines and as well as for the commercial vehicle sector.   ","['Defense Manufacturer', 'Automotive']"
"[ORG] was a laboratory supply and biotechnology company that provided products and services to the global scientific research and clinical laboratory markets until its merger with Thermo Electron in 2006, after which it became Thermo Fisher Scientific. The company offered products and services to over 350,000 customers located in approximately 150 countries including pharmaceutical and biotechnology companies, secondary and higher education institutions, hospitals and medical research institutions, and quality control, process control and research and development laboratories.   ",['Medical']
"[ORG] is a credit union located in Kanazawa City, Ishikawa Prefecture. Its former name was Hokuriku Shinkin Bank, and its former nickname was Hokusin.",['Finance']
"[ORG] is a cable television provider headquartered in Ikoma City, Nara Prefecture. It operates under the Kintetsu Group Holdings and offers services such as cable television, internet connection services, fixed-line telephone (IP phone), and mobile phone (smartphone) services as an MVNO. The internet services use the business lines of Kinki Nippon Railway (Kintetsu).",['ISP']
"[ORG] is a major passenger railway company in Japan and is the biggest of the seven Japan Railways Group companies. The company's headquarters are in Yoyogi,[note 1] Shibuya, Tokyo. It is listed in the Tokyo Stock Exchange.[note 2]   ",['Transportation']
" [ORG] is a Japanese mobile phone operator. The name is officially an abbreviation of the phrase, ""do communications over the mobile network"", and is also from a compound word dokomo, meaning ""everywhere"" in Japanese.[5] The company is headquartered in Sanno Park Tower, Nagatachō, Chiyoda, Tokyo.[6] Docomo provides phone, video phone (FOMA and Some PHS), i-mode (internet), and mail (i-mode mail, Short Mail, and SMS) services. It is the largest wireless carrier in Japan, with 82.632 million subscribers as of March?2021[update].[7]   ",['ISP']
